timestamp,date,time,open,high,low,close,volume
2022-03-29 09:00:00,29/03/2022,09:00:00,21.962,22.941,21.813,22.416,17578336.4
2022-03-30 09:00:00,30/03/2022,09:00:00,22.414,22.986,21.575,22.443,19526653.8
2022-03-31 09:00:00,31/03/2022,09:00:00,22.442,23.058,21.061,21.315,23314064.8
2022-04-01 09:00:00,01/04/2022,09:00:00,21.315,22.15,20.561,22.051,19000303.6
2022-04-02 09:00:00,02/04/2022,09:00:00,22.053,23.848,21.931,22.595,26996725.7
2022-04-03 09:00:00,03/04/2022,09:00:00,22.592,23.563,22.503,23.194,19286531.1
2022-04-04 09:00:00,04/04/2022,09:00:00,23.195,23.218,21.568,22.882,20126576.9
2022-04-05 09:00:00,05/04/2022,09:00:00,22.882,23.104,21.668,21.76,16806315.4
2022-04-06 09:00:00,06/04/2022,09:00:00,21.76,21.808,19.689,19.822,24803529.2
2022-04-07 09:00:00,07/04/2022,09:00:00,19.82,20.643,19.426,20.376,15131425.9
2022-04-08 09:00:00,08/04/2022,09:00:00,20.374,20.565,19.111,19.407,14673686.7
2022-04-09 09:00:00,09/04/2022,09:00:00,19.408,19.818,19.269,19.747,8373768.3
2022-04-10 09:00:00,10/04/2022,09:00:00,19.748,20.23,19.135,19.217,11712867.5
2022-04-11 09:00:00,11/04/2022,09:00:00,19.217,19.276,16.96,17.191,26642025.2
2022-04-12 09:00:00,12/04/2022,09:00:00,17.192,18.018,17.142,17.756,18604258.2
2022-04-13 09:00:00,13/04/2022,09:00:00,17.756,18.293,17.36,18.182,16951805.6
2022-04-14 09:00:00,14/04/2022,09:00:00,18.182,18.473,17.449,17.897,18575296.7
2022-04-15 09:00:00,15/04/2022,09:00:00,17.897,18.455,17.764,18.329,16161236.0
2022-04-16 09:00:00,16/04/2022,09:00:00,18.33,18.683,18.15,18.585,13548156.9
2022-04-17 09:00:00,17/04/2022,09:00:00,18.586,18.81,17.618,17.718,13286935.0
2022-04-18 09:00:00,18/04/2022,09:00:00,17.717,18.379,17.075,18.142,19476628.9
2022-04-19 09:00:00,19/04/2022,09:00:00,18.142,18.941,18.027,18.873,13852983.2
2022-04-20 09:00:00,20/04/2022,09:00:00,18.873,19.538,18.529,19.075,19505919.0
2022-04-21 09:00:00,21/04/2022,09:00:00,19.076,19.676,18.006,18.158,18025403.7
2022-04-22 09:00:00,22/04/2022,09:00:00,18.157,18.518,18.052,18.269,12347896.1
2022-04-23 09:00:00,23/04/2022,09:00:00,18.268,19.247,17.931,18.686,14314290.4
2022-04-24 09:00:00,24/04/2022,09:00:00,18.687,19.15,18.035,18.149,14031968.4
2022-04-25 09:00:00,25/04/2022,09:00:00,18.15,18.241,17.101,18.091,20350772.9
2022-04-26 09:00:00,26/04/2022,09:00:00,18.091,18.326,16.352,16.661,19788807.1
2022-04-27 09:00:00,27/04/2022,09:00:00,16.662,17.257,16.464,16.933,14341038.0
2022-04-28 09:00:00,28/04/2022,09:00:00,16.932,17.41,16.641,16.971,16453846.0
2022-04-29 09:00:00,29/04/2022,09:00:00,16.971,17.059,15.973,16.177,14121915.2
2022-04-30 09:00:00,30/04/2022,09:00:00,16.177,16.433,14.134,14.479,18882556.3
2022-05-01 09:00:00,01/05/2022,09:00:00,14.479,15.511,14.471,15.332,16100677.4
2022-05-02 09:00:00,02/05/2022,09:00:00,15.334,15.579,14.531,14.954,19434835.1
2022-05-03 09:00:00,03/05/2022,09:00:00,14.954,15.237,14.495,14.719,13511369.5
2022-05-04 09:00:00,04/05/2022,09:00:00,14.72,16.34,14.65,16.318,21911201.0
2022-05-05 09:00:00,05/05/2022,09:00:00,16.319,16.443,13.98,14.569,28875688.3
2022-05-06 09:00:00,06/05/2022,09:00:00,14.569,14.654,13.76,14.319,23579231.0
2022-05-07 09:00:00,07/05/2022,09:00:00,14.319,14.365,13.342,13.737,17058982.0
2022-05-08 09:00:00,08/05/2022,09:00:00,13.736,13.871,13.009,13.246,23048666.9
2022-05-09 09:00:00,09/05/2022,09:00:00,13.246,13.48,10.47,10.613,69064860.1
2022-05-10 09:00:00,10/05/2022,09:00:00,10.612,12.437,10.29,11.34,69517563.0
2022-05-11 09:00:00,11/05/2022,09:00:00,11.34,11.639,7.888,9.068,102811577.3
2022-05-12 09:00:00,12/05/2022,09:00:00,9.067,9.51,7.243,8.692,91665751.1
2022-05-13 09:00:00,13/05/2022,09:00:00,8.69,11.787,8.545,10.456,65430387.6
2022-05-14 09:00:00,14/05/2022,09:00:00,10.457,11.558,9.751,11.294,45806839.6
2022-05-15 09:00:00,15/05/2022,09:00:00,11.292,11.848,10.556,11.797,34921473.3
2022-05-16 09:00:00,16/05/2022,09:00:00,11.795,11.802,10.352,10.62,35700630.0
2022-05-17 09:00:00,17/05/2022,09:00:00,10.621,11.332,10.406,11.024,27914685.2
2022-05-18 09:00:00,18/05/2022,09:00:00,11.024,11.171,9.425,9.481,34308517.4
2022-05-19 09:00:00,19/05/2022,09:00:00,9.482,10.399,9.207,10.022,34743177.1
2022-05-20 09:00:00,20/05/2022,09:00:00,10.021,10.254,9.432,9.656,30124740.4
2022-05-21 09:00:00,21/05/2022,09:00:00,9.657,10.096,9.457,9.982,17966724.7
2022-05-22 09:00:00,22/05/2022,09:00:00,9.982,10.329,9.857,10.146,17842924.0
2022-05-23 09:00:00,23/05/2022,09:00:00,10.145,10.728,9.793,9.884,33885480.3
2022-05-24 09:00:00,24/05/2022,09:00:00,9.884,10.266,9.55,10.179,31514284.2
2022-05-25 09:00:00,25/05/2022,09:00:00,10.178,10.327,9.76,9.864,25099242.8
2022-05-26 09:00:00,26/05/2022,09:00:00,9.864,9.997,8.798,9.129,44392582.1
2022-05-27 09:00:00,27/05/2022,09:00:00,9.128,10.0,8.557,9.116,70580135.4
2022-05-28 09:00:00,28/05/2022,09:00:00,9.116,9.8,8.951,9.639,30920430.1
2022-05-29 09:00:00,29/05/2022,09:00:00,9.639,10.04,9.322,9.971,31934381.7
2022-05-30 09:00:00,30/05/2022,09:00:00,9.972,10.794,9.897,10.459,34024125.6
2022-05-31 09:00:00,31/05/2022,09:00:00,10.459,10.639,9.931,10.346,36904926.1
2022-06-01 09:00:00,01/06/2022,09:00:00,10.347,10.743,9.25,9.45,46224441.6
2022-06-02 09:00:00,02/06/2022,09:00:00,9.45,10.066,9.284,9.872,27042498.5
2022-06-03 09:00:00,03/06/2022,09:00:00,9.872,9.912,9.184,9.363,26849000.9
2022-06-04 09:00:00,04/06/2022,09:00:00,9.364,9.555,9.088,9.441,16561150.5
2022-06-05 09:00:00,05/06/2022,09:00:00,9.439,9.546,9.236,9.342,15045399.8
2022-06-06 09:00:00,06/06/2022,09:00:00,9.341,9.929,9.31,9.495,25605442.8
2022-06-07 09:00:00,07/06/2022,09:00:00,9.495,9.503,8.825,9.216,33214665.2
2022-06-08 09:00:00,08/06/2022,09:00:00,9.216,9.388,8.879,8.995,22225534.3
2022-06-09 09:00:00,09/06/2022,09:00:00,8.995,9.462,8.9,9.227,24560754.6
2022-06-10 09:00:00,10/06/2022,09:00:00,9.227,9.369,8.513,8.652,32312416.3
2022-06-11 09:00:00,11/06/2022,09:00:00,8.653,8.844,7.893,8.032,31440977.9
2022-06-12 09:00:00,12/06/2022,09:00:00,8.032,8.106,7.374,7.391,40457313.5
2022-06-13 09:00:00,13/06/2022,09:00:00,7.391,7.474,6.332,7.031,110112746.3
2022-06-14 09:00:00,14/06/2022,09:00:00,7.031,7.54,6.665,7.355,69398484.2
2022-06-15 09:00:00,15/06/2022,09:00:00,7.355,8.78,6.832,8.493,85362205.7
2022-06-16 09:00:00,16/06/2022,09:00:00,8.492,8.553,6.963,7.115,49839665.1
2022-06-17 09:00:00,17/06/2022,09:00:00,7.115,7.452,7.026,7.27,33792426.6
2022-06-18 09:00:00,18/06/2022,09:00:00,7.271,7.404,6.451,7.044,48563033.4
2022-06-19 09:00:00,19/06/2022,09:00:00,7.044,7.648,6.761,7.511,36523211.5
2022-06-20 09:00:00,20/06/2022,09:00:00,7.512,8.02,7.159,7.864,36149615.8
2022-06-21 09:00:00,21/06/2022,09:00:00,7.864,8.278,7.661,7.756,30986429.0
2022-06-22 09:00:00,22/06/2022,09:00:00,7.757,7.812,7.344,7.385,26780683.6
2022-06-23 09:00:00,23/06/2022,09:00:00,7.385,7.816,7.351,7.769,27654620.0
2022-06-24 09:00:00,24/06/2022,09:00:00,7.769,8.356,7.716,8.178,30584435.4
2022-06-25 09:00:00,25/06/2022,09:00:00,8.178,8.366,7.779,8.127,21332226.2
2022-06-26 09:00:00,26/06/2022,09:00:00,8.126,8.485,7.802,7.828,26137665.1
2022-06-27 09:00:00,27/06/2022,09:00:00,7.827,8.198,7.671,7.737,26428920.1
2022-06-28 09:00:00,28/06/2022,09:00:00,7.736,7.993,7.25,7.308,30859205.5
2022-06-29 09:00:00,29/06/2022,09:00:00,7.307,7.44,6.94,7.03,32915407.4
2022-06-30 09:00:00,30/06/2022,09:00:00,7.03,7.099,6.628,7.057,37857437.4
2022-07-01 09:00:00,01/07/2022,09:00:00,7.058,7.249,6.54,6.749,39466112.0
